model_name,part_ids
10360A Admiral Refrigerator,PS12349731 | PS11743133 | PS2073411 | PS11751203 | PS2040712 | PS2198133 | PS49736 | PS48554 | PS49734 | PS51038 | PS52209 | PS52484 | PS52529 | PS527638 | PS527642 | PS527643 | PS527651 | PS527654 | PS527659 | PS527686 | PS527701 | PS527709 | PS527712 | PS527657 | PS519527 | PS527658 | PS526884 | PS730125 | PS798832 | PS798834 | PS798863 | PS798879 | PS798912 | PS798915 | PS730006 | PS730009 | PS730016 | PS730111 | PS730112 | PS730113 | PS730114 | PS730129 | PS730136 | PS730137 | PS730138 | PS730143 | PS730144 | PS730774 | PS731214 | PS541050 | PS514054 | PS514055 | PS519239 | PS519514 | PS519516 | PS519525 | PS529354 | PS526890 | PS526892 | PS526893 | PS2175109 | PS1384635 | PS1384642 | PS1465633 | PS2007412 | PS2064838 | PS2064849 | PS1294959 | PS1294968 | PS12181152
10550A Admiral Refrigerator,PS12349731 | PS11743133 | PS2073411 | PS11751203 | PS11749031 | PS2057900 | PS11740569 | PS2198133 | PS2064837 | PS49736 | PS2008852 | PS48554 | PS48967 | PS49733 | PS49739 | PS51039 | PS52484 | PS52529 | PS527712 | PS527634 | PS527637 | PS527638 | PS527641 | PS527642 | PS527643 | PS527645 | PS527646 | PS527649 | PS527651 | PS527654 | PS527655 | PS527656 | PS527659 | PS527661 | PS527662 | PS527664 | PS527683 | PS527684 | PS527685 | PS527686 | PS527692 | PS527693 | PS527709 | PS548355 | PS527657 | PS519265 | PS541050 | PS514056 | PS526883 | PS527713 | PS527658 | PS519520 | PS519522 | PS519268 | PS794911 | PS798865 | PS798876 | PS798877 | PS798878 | PS798912 | PS805325 | PS730016 | PS730129 | PS730759 | PS730765 | PS730766 | PS730768 | PS730772 | PS730773 | PS730774 | PS730775 | PS730776 | PS730777 | PS730778 | PS730779 | PS730781 | PS730785 | PS730786 | PS513661 | PS513667 | PS514054 | PS514055 | PS519212 | PS519213 | PS519218 | PS519221 | PS519224 | PS519230 | PS519236 | PS519239 | PS519240 | PS519241 | PS519242 | PS519245 | PS519270 | PS519271 | PS519272 | PS519273 | PS519513 | PS519514 | PS519517 | PS519518 | PS519524 | PS519525 | PS548352 | PS529354 | PS526876 | PS526877 | PS526878 | PS526881 | PS526882 | PS1384848 | PS1288778 | PS1288779 | PS1289245 | PS1294941 | PS1294948 | PS1294959 | PS12202915 | PS12181092
10560A Admiral Refrigerator,PS12349731 | PS11743133 | PS2073411 | PS11751203 | PS11749031 | PS2057900 | PS11740569 | PS2198133 | PS2064837 | PS2008852 | PS48554 | PS48967 | PS49733 | PS49739 | PS51039 | PS52484 | PS52529 | PS527634 | PS527637 | PS527638 | PS527641 | PS527642 | PS527643 | PS527645 | PS527646 | PS527649 | PS527651 | PS527654 | PS527655 | PS527656 | PS527661 | PS527662 | PS527664 | PS527683 | PS527684 | PS527685 | PS527686 | PS527692 | PS527693 | PS527709 | PS527712 | PS548355 | PS527657 | PS541050 | PS527713 | PS527658 | PS527659 | PS519522 | PS519268 | PS519265 | PS526883 | PS794911 | PS798865 | PS798876 | PS798877 | PS798878 | PS798912 | PS805325 | PS730129 | PS730759 | PS730765 | PS730766 | PS730768 | PS730772 | PS730773 | PS730774 | PS730775 | PS730776 | PS730777 | PS730778 | PS730779 | PS730781 | PS730785 | PS730786 | PS513661 | PS513667 | PS514054 | PS514055 | PS514056 | PS519212 | PS519213 | PS519218 | PS519221 | PS519224 | PS519230 | PS519236 | PS519239 | PS519240 | PS519241 | PS519242 | PS519245 | PS519270 | PS519271 | PS519272 | PS519273 | PS519513 | PS519517 | PS519518 | PS519524 | PS519525 | PS548352 | PS529354 | PS526876 | PS526877 | PS526878 | PS526881 | PS526882 | PS1384848 | PS1288778 | PS1289245 | PS1294941 | PS1294948 | PS1294959 | PS12202915
10560B Admiral Refrigerator,PS12349731 | PS11743133 | PS2073411 | PS11751203 | PS11749031 | PS2057900 | PS11740569 | PS2198133 | PS2064837 | PS49736 | PS2008852 | PS48554 | PS48967 | PS49733 | PS49739 | PS51039 | PS52484 | PS52529 | PS527712 | PS527634 | PS527637 | PS527638 | PS527641 | PS527642 | PS527643 | PS527645 | PS527646 | PS527649 | PS527651 | PS527654 | PS527655 | PS527656 | PS527659 | PS527661 | PS527662 | PS527664 | PS527683 | PS527684 | PS527685 | PS527686 | PS527692 | PS527693 | PS527709 | PS519265 | PS527657 | PS541050 | PS526883 | PS527713 | PS527658 | PS519520 | PS519268 | PS519522 | PS548355 | PS794911 | PS798865 | PS798876 | PS798877 | PS798878 | PS798912 | PS805325 | PS730016 | PS730129 | PS730759 | PS730765 | PS730766 | PS730768 | PS730772 | PS730773 | PS730774 | PS730775 | PS730776 | PS730777 | PS730778 | PS730779 | PS730781 | PS730785 | PS730786 | PS513661 | PS513667 | PS514054 | PS514055 | PS519212 | PS519213 | PS519218 | PS519221 | PS519224 | PS519230 | PS519236 | PS519239 | PS519240 | PS519241 | PS519242 | PS519245 | PS519270 | PS519271 | PS519272 | PS519273 | PS519513 | PS519514 | PS519517 | PS519518 | PS519524 | PS519525 | PS548352 | PS529354 | PS526876 | PS526877 | PS526878 | PS526881 | PS526882 | PS514056 | PS1384848 | PS1288778 | PS1288779 | PS1289245 | PS1294941 | PS1294948 | PS1294959 | PS12202915 | PS12181092
10560C Admiral Refrigerator,PS12349731 | PS11743133 | PS2073411 | PS11751203 | PS11749031 | PS2057900 | PS11740569 | PS2198133 | PS2064837 | PS2008852 | PS48554 | PS48967 | PS49733 | PS49739 | PS51039 | PS52484 | PS52529 | PS527634 | PS527637 | PS527638 | PS527641 | PS527642 | PS527643 | PS527645 | PS527646 | PS527649 | PS527651 | PS527654 | PS527655 | PS527656 | PS527659 | PS527661 | PS527662 | PS527664 | PS527683 | PS527684 | PS527685 | PS527686 | PS527692 | PS527693 | PS527709 | PS527712 | PS548355 | PS527657 | PS519265 | PS541050 | PS526883 | PS527713 | PS527658 | PS519522 | PS519268 | PS794911 | PS798865 | PS798876 | PS798877 | PS798878 | PS798912 | PS805325 | PS730129 | PS730759 | PS730765 | PS730766 | PS730768 | PS730772 | PS730773 | PS730774 | PS730775 | PS730776 | PS730777 | PS730778 | PS730779 | PS730781 | PS730785 | PS730786 | PS513661 | PS513667 | PS514054 | PS514055 | PS514056 | PS519212 | PS519213 | PS519218 | PS519221 | PS519224 | PS519230 | PS519236 | PS519239 | PS519240 | PS519241 | PS519242 | PS519245 | PS519270 | PS519271 | PS519272 | PS519273 | PS519513 | PS519517 | PS519518 | PS519524 | PS519525 | PS548352 | PS529354 | PS526876 | PS526877 | PS526878 | PS526881 | PS526882 | PS1384848 | PS1288778 | PS1289245 | PS1294941 | PS1294948 | PS1294959 | PS12202915
106106-8130600 Kenmore Refrigerator,PS884734 | PS11723171 | PS12728638 | PS395284 | PS11739222 | PS11742721 | PS371236 | PS376600 | PS11745970 | PS370711 | PS11742707 | PS11747542 | PS11745969 | PS11742729 | PS11743744 | PS11747799 | PS11742731 | PS11742733 | PS11742730 | PS11751112 | PS11746874 | PS11745205 | PS11739707 | PS11742700 | PS316229 | PS17216882 | PS11742712 | PS395784 | PS399910 | PS11731178 | PS11747544 | PS396093 | PS377746 | PS392542 | PS328704 | PS11743362 | PS11746869 | PS11738272 | PS11742831 | PS11742469 | PS11728084 | PS11748979 | PS11746870 | PS11748983 | PS11726294 | PS335557 | PS395433 | PS388008 | PS11746868 | PS11742830 | PS378577 | PS11738903 | PS404073 | PS395431 | PS395470 | PS405830 | PS399318 | PS11742704 | PS11742710 | PS405588 | PS315877 | PS378918 | PS2050335 | PS377729 | PS394977 | PS397612 | PS395469 | PS399588 | PS405620 | PS377650 | PS404101 | PS399334 | PS379061 | PS395463 | PS395779 | PS395459 | PS593524 | PS11746865 | PS11742708 | PS399327 | PS378035 | PS333746 | PS395428 | PS399442 | PS322341 | PS589285 | PS326057 | PS395441 | PS395614 | PS396255 | PS400272 | PS378341 | PS378361 | PS379167 | PS313404 | PS603279 | PS11747797 | PS354157 | PS399302 | PS377848 | PS333077 | PS395306 | PS395418 | PS378399 | PS405716 | PS395460 | PS395843 | PS396225 | PS396275 | PS396282 | PS396334 | PS405619 | PS405629 | PS405712 | PS404573 | PS404574 | PS404936 | PS399319 | PS399321 | PS399495
106106-8130610 Kenmore Refrigerator,PS884734 | PS11723171 | PS12728638 | PS395284 | PS11739222 | PS11742721 | PS371236 | PS376600 | PS11745970 | PS370711 | PS11742707 | PS11747542 | PS11745969 | PS11742729 | PS11743744 | PS11747799 | PS11742731 | PS11742733 | PS11742730 | PS11751112 | PS11746874 | PS11745205 | PS11739707 | PS11742700 | PS316229 | PS17216882 | PS11742712 | PS395784 | PS399910 | PS11731178 | PS11747544 | PS396093 | PS377746 | PS392542 | PS328704 | PS11743362 | PS11746869 | PS11738272 | PS11742831 | PS11742469 | PS11728084 | PS11748979 | PS11746870 | PS11748983 | PS11726294 | PS335557 | PS395433 | PS388008 | PS11746868 | PS11742830 | PS378577 | PS11738903 | PS404073 | PS395431 | PS395470 | PS405830 | PS399318 | PS11742704 | PS11742710 | PS405588 | PS315877 | PS378918 | PS2050335 | PS377729 | PS394977 | PS397612 | PS395469 | PS399588 | PS405620 | PS377650 | PS404101 | PS399334 | PS379061 | PS395463 | PS395779 | PS395459 | PS593524 | PS11746865 | PS11742708 | PS399327 | PS378035 | PS333746 | PS395428 | PS399442 | PS322341 | PS589285 | PS326057 | PS395441 | PS395614 | PS396255 | PS400272 | PS378341 | PS378361 | PS379167 | PS313404 | PS603279 | PS11747797 | PS354157 | PS399302 | PS377848 | PS333077 | PS395306 | PS395418 | PS378399 | PS405716 | PS395460 | PS395843 | PS396225 | PS396275 | PS396282 | PS396334 | PS405619 | PS405629 | PS405712 | PS404573 | PS404574 | PS404936 | PS399319 | PS399321 | PS399495
106106-8130620 Kenmore Refrigerator,PS884734 | PS11723171 | PS12728638 | PS395284 | PS11739222 | PS11742721 | PS371236 | PS376600 | PS11745970 | PS370711 | PS11742707 | PS11747542 | PS11745969 | PS11742729 | PS11743744 | PS11747799 | PS11742731 | PS11742733 | PS11742730 | PS11751112 | PS11746874 | PS11745205 | PS11739707 | PS11742700 | PS316229 | PS17216882 | PS11742712 | PS395784 | PS399910 | PS11731178 | PS11747544 | PS396093 | PS377746 | PS392542 | PS328704 | PS11743362 | PS11746869 | PS11738272 | PS11742831 | PS11742469 | PS11728084 | PS11748979 | PS11746870 | PS11748983 | PS11726294 | PS335557 | PS395433 | PS388008 | PS11746868 | PS11742830 | PS378577 | PS11738903 | PS404073 | PS395431 | PS395470 | PS405830 | PS399318 | PS11742704 | PS11742710 | PS405588 | PS315877 | PS378918 | PS2050335 | PS377729 | PS394977 | PS397612 | PS395469 | PS399588 | PS405620 | PS377650 | PS404101 | PS399334 | PS379061 | PS395463 | PS395779 | PS395459 | PS593524 | PS11746865 | PS11742708 | PS399327 | PS378035 | PS333746 | PS395428 | PS399442 | PS322341 | PS589285 | PS326057 | PS395441 | PS395614 | PS396255 | PS400272 | PS378341 | PS378361 | PS379167 | PS313404 | PS603279 | PS11747797 | PS354157 | PS399302 | PS377848 | PS333077 | PS395306 | PS395418 | PS378399 | PS395460 | PS395843 | PS396225 | PS396275 | PS396282 | PS396334 | PS405619 | PS405629 | PS405712 | PS405716 | PS404573 | PS404574 | PS404936 | PS399319 | PS399321 | PS399495
106106-8130630 Kenmore Refrigerator,PS884734 | PS11723171 | PS12728638 | PS395284 | PS11739222 | PS11742721 | PS371236 | PS376600 | PS11745970 | PS370711 | PS11742707 | PS11747542 | PS11745969 | PS11742729 | PS11743744 | PS11747799 | PS11742731 | PS11742733 | PS11742730 | PS11751112 | PS11746874 | PS11745205 | PS11739707 | PS11742700 | PS316229 | PS17216882 | PS11742712 | PS395784 | PS399910 | PS11731178 | PS11747544 | PS396093 | PS377746 | PS392542 | PS328704 | PS11743362 | PS11746869 | PS11738272 | PS11742831 | PS11742469 | PS11728084 | PS11748979 | PS11746870 | PS11748983 | PS11726294 | PS335557 | PS395433 | PS388008 | PS11746868 | PS11742830 | PS378577 | PS11738903 | PS404073 | PS395431 | PS395470 | PS405830 | PS399318 | PS11742704 | PS11742710 | PS405588 | PS315877 | PS378918 | PS2050335 | PS377729 | PS394977 | PS397612 | PS395469 | PS399588 | PS405620 | PS377650 | PS404101 | PS399334 | PS379061 | PS395463 | PS395779 | PS395459 | PS593524 | PS11746865 | PS11742708 | PS399327 | PS378035 | PS333746 | PS395428 | PS399442 | PS322341 | PS589285 | PS326057 | PS395614 | PS396255 | PS400272 | PS395441 | PS378341 | PS378361 | PS379167 | PS313404 | PS603279 | PS11747797 | PS399302 | PS377848 | PS354157 | PS333077 | PS395306 | PS395418 | PS378399 | PS405716 | PS395460 | PS395843 | PS396225 | PS396275 | PS396282 | PS396334 | PS405619 | PS405629 | PS405712 | PS404573 | PS404574 | PS404936 | PS399319 | PS399321 | PS399495
106106-8130640 Kenmore Refrigerator,PS884734 | PS11723171 | PS12728638 | PS395284 | PS11739222 | PS11742721 | PS371236 | PS376600 | PS11745970 | PS370711 | PS11742707 | PS11747542 | PS11745969 | PS11742729 | PS11743744 | PS11747799 | PS11742731 | PS11742733 | PS11742730 | PS11751112 | PS11746874 | PS11745205 | PS11739707 | PS11742700 | PS316229 | PS17216882 | PS11742712 | PS395784 | PS399910 | PS11731178 | PS11747544 | PS396093 | PS377746 | PS392542 | PS328704 | PS11743362 | PS11746869 | PS11738272 | PS11742831 | PS11742469 | PS11728084 | PS11748979 | PS11746870 | PS11748983 | PS11726294 | PS335557 | PS395433 | PS388008 | PS11746868 | PS11742830 | PS378577 | PS11738903 | PS404073 | PS395431 | PS395470 | PS405830 | PS399318 | PS11742704 | PS11742710 | PS405588 | PS315877 | PS378918 | PS2050335 | PS377729 | PS394977 | PS397612 | PS395469 | PS399588 | PS405620 | PS377650 | PS404101 | PS399334 | PS379061 | PS395463 | PS395779 | PS395459 | PS593524 | PS11746865 | PS11742708 | PS399327 | PS378035 | PS333746 | PS395428 | PS399442 | PS322341 | PS589285 | PS326057 | PS395614 | PS396255 | PS400272 | PS395441 | PS378341 | PS378361 | PS379167 | PS313404 | PS603279 | PS11747797 | PS354157 | PS399302 | PS377848 | PS333077 | PS395306 | PS395418 | PS378399 | PS405716 | PS395460 | PS395843 | PS396225 | PS396275 | PS396282 | PS396334 | PS405619 | PS405629 | PS405712 | PS404573 | PS404574 | PS404936 | PS399319 | PS399321 | PS399495
